City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hobart,AU,75.99,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
4,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
6,Kavieng,PG,83.55,light rain,-2.5744,150.7967,Nusa Island Retreat
7,Rikitea,PF,79.54,scattered clouds,-23.1203,-134.9692,Pension Maro'i
14,Anito,PH,78.62,broken clouds,12.4497,125.2886,The Yellow House
18,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
28,Omboue,GA,77.4,light rain,-1.5746,9.2618,Hotel Olako
37,Pak Phanang,TH,75.2,few clouds,8.3511,100.20200000000001,Green Park Inn Hotel
39,Saint-Pierre,RE,80.6,few clouds,-21.3393,55.4781,Lindsey Hôtel
40,Hilo,US,78.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
50,Vaini,TO,80.6,overcast clouds,-21.2,-175.2,Keleti Beach Resort
52,Beloha,MG,76.17,clear sky,-25.1667,45.05,
57,Faanui,PF,82.02,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
59,Vao,NC,75.9,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
60,Hithadhoo,MV,82.09,broken clouds,-0.6,73.0833,Scoop Guest House
62,Atuona,PF,78.91,clear sky,-9.8,-139.0333,Villa Enata
64,Diamantino,BR,75.16,moderate rain,-14.4086,-56.4461,Hotel Delta
69,Pimenta Bueno,BR,75.63,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
81,Kapaa,US,78.8,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
85,Dingle,PH,79.07,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
87,Los Zacatones,MX,75.2,scattered clouds,22.95,-102.05,
88,Kieta,PG,87.51,light rain,-6.2167,155.6333,
100,Puerto Ayora,EC,79.0,broken clouds,-0.7393,-90.3518,Castillo Galapagos
103,Namatanai,PG,84.47,light rain,-3.6667,152.4333,Namatanai Hotel
104,Japura,ID,76.55,light rain,-0.3167,102.35,Rumah mbah Jamah
110,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
112,Caravelas,BR,75.87,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
115,Nelson Bay,AU,82.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
120,Madimba,TZ,78.08,overcast clouds,-10.4,40.3333,
123,Warkworth,NZ,75.99,clear sky,-36.4,174.6667,Bridge House Lodge Bar & Restaurant
126,New Norfolk,AU,75.99,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
127,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
129,Hervey Bay,AU,82.4,light rain,-25.2986,152.8535,Shelly Bay Resort
137,Carmen,MX,77.0,scattered clouds,18.6333,-91.8333,Hotel Lossandes
141,Paka,MY,77.0,scattered clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
143,Butaritari,KI,80.98,light rain,3.0707,172.7902,Isles Sunset Lodge
146,Pemangkat,ID,78.42,light rain,1.1667,108.9667,Kost H.Syamsuddin
