City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hamilton,US,39.1834,-84.5333,28.99,86,90,11.5,snow
1,Port Alfred,ZA,-33.5906,26.891,65.44,71,73,17.52,broken clouds
2,Nikolskoye,RU,59.7035,30.7861,25.0,93,75,4.47,snow
3,Pevek,RU,69.7008,170.3133,4.62,90,100,23.22,light snow
4,New Norfolk,AU,-42.7826,147.0587,70.0,50,60,3.0,broken clouds
5,San Patricio,US,28.017,-97.5169,55.4,57,1,4.61,clear sky
6,Amargosa,BR,-13.0303,-39.6047,68.86,98,47,3.71,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,78.71,75,97,13.33,overcast clouds
8,Busselton,AU,-33.65,115.3333,93.0,33,0,4.63,clear sky
9,Cape Town,ZA,-33.9258,18.4232,66.0,67,0,4.61,clear sky
10,Jamestown,US,42.097,-79.2353,23.0,93,90,12.66,snow
11,Vaini,TO,-21.2,-175.2,84.2,74,75,25.32,light rain
12,Hermanus,ZA,-34.4187,19.2345,64.0,66,0,10.0,clear sky
13,Dikson,RU,73.5069,80.5464,-12.57,85,99,16.6,overcast clouds
14,Provideniya,RU,64.3833,-173.3,5.59,92,100,23.31,snow
15,Mataura,NZ,-46.1927,168.8643,80.04,34,96,3.58,overcast clouds
16,Yarim,YE,14.298,44.3779,44.19,54,0,6.15,clear sky
17,Beloha,MG,-25.1667,45.05,76.5,87,0,4.34,clear sky
18,Bredasdorp,ZA,-34.5322,20.0403,60.8,67,1,9.22,clear sky
19,Hilo,US,19.7297,-155.09,75.2,64,20,9.22,few clouds
20,Port Elizabeth,ZA,-33.918,25.5701,64.4,72,0,9.22,clear sky
21,Pomabamba,PE,-8.8333,-77.4667,52.54,73,100,2.37,light rain
22,Coffs Harbour,AU,-30.3,153.1333,79.0,61,75,11.5,broken clouds
23,Kapaa,US,22.0752,-159.319,73.4,88,90,11.5,overcast clouds
24,Albany,US,42.6001,-73.9662,25.0,84,100,3.0,snow
25,Grindavik,IS,63.8424,-22.4338,33.8,69,20,17.27,few clouds
26,Staryy Nadym,RU,65.6118,72.6842,8.29,95,100,15.57,light snow
27,Ribeira Grande,PT,38.5167,-28.7,57.74,71,100,25.81,overcast clouds
28,Deputatskiy,RU,69.3,139.9,-27.4,87,100,6.22,light snow
29,Hambantota,LK,6.1241,81.1185,78.8,94,75,6.91,broken clouds
30,Sagua La Grande,CU,22.8067,-80.0756,66.2,88,40,6.91,light rain
31,Bolotnoye,RU,55.6717,84.3981,0.57,84,1,5.7,clear sky
32,Mehamn,NO,71.0357,27.8492,25.39,93,100,12.41,light snow
33,Kijang,KR,35.2442,129.2139,37.4,18,0,9.22,clear sky
34,Abengourou,CI,6.7297,-3.4964,71.4,98,26,1.74,scattered clouds
35,Ushuaia,AR,-54.8,-68.3,48.2,81,75,9.22,light rain
36,Punta Arenas,CL,-53.15,-70.9167,51.8,71,0,21.85,clear sky
37,Hobart,AU,-42.8794,147.3294,70.0,39,40,17.27,scattered clouds
38,Torbay,CA,47.6666,-52.7314,28.0,86,90,12.66,overcast clouds
39,Chumikan,RU,54.7183,135.315,-24.02,74,14,18.3,few clouds
40,Canyon Lake,US,29.8752,-98.2625,46.99,66,0,4.27,clear sky
41,Bluff,NZ,-46.6,168.3333,64.99,67,96,6.78,overcast clouds
42,Kupino,RU,54.3663,77.2981,-1.95,91,0,3.49,clear sky
43,Qaanaaq,GL,77.484,-69.3632,-8.66,76,76,4.76,broken clouds
44,Padang,ID,-0.9492,100.3543,86.0,74,20,5.75,few clouds
45,Chokurdakh,RU,70.6333,147.9167,0.39,93,100,21.12,light snow
46,Taunsa,PK,30.7048,70.6505,56.93,35,0,5.61,clear sky
47,Lorengau,PG,-2.0226,147.2712,83.57,75,98,14.45,overcast clouds
48,Castro,BR,-24.7911,-50.0119,65.59,95,98,2.46,overcast clouds
49,Erenhot,CN,43.6475,111.9767,-2.42,83,6,5.95,clear sky
50,Birjand,IR,32.8663,59.2211,26.6,54,0,9.22,clear sky
51,Kapit,MY,2.0167,112.9333,78.17,82,100,2.64,light rain
52,Almeirim,BR,-1.5233,-52.5817,76.48,85,69,5.39,broken clouds
53,Broken Hill,AU,-31.95,141.4333,75.2,25,0,19.57,clear sky
54,Saskylakh,RU,71.9167,114.0833,-32.76,83,99,6.93,overcast clouds
55,Srednekolymsk,RU,67.45,153.6833,-9.71,90,100,14.16,light snow
